epoch;loss;seq_loss;single_loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1;val_seq_loss;val_single_loss
0;0.33841535449028015;0.34945541620254517;0.32733938097953796;0.8849807;0.5271031632971759;0.8622650147278912;0.5292798405183154;0.8980887;0.6775114;0.97781616;0.29578868;0.8951005;0.5470335544824185;0.868871228448276;0.2797025442123413;0.535;0.9037574;0.72;0.98491377;0.27;0.2922050356864929;0.26719993352890015
17;0.27955058217048645;0.28484609723091125;0.27420055866241455;0.8953599;0.6241903258177007;0.8995914344382564;0.5856147336983574;0.9086163;0.72179735;0.9771487;0.3762771;0.9013819;0.6214960804883264;0.895930316091954;0.24502672255039215;0.5825;0.9105718;0.7443182;0.98383623;0.3275;0.24897436797618866;0.24107910692691803
1;0.31269121170043945;0.32316678762435913;0.3025452792644501;0.8897293;0.5464622303238249;0.8674850827628927;0.5363726955655207;0.9023834;0.7033084;0.97816956;0.3284326;0.897299;0.5405104011265607;0.8745303520114943;0.27182430028915405;0.5447761194029851;0.9069228;0.72121215;0.983477;0.2975;0.28067493438720703;0.26297375559806824
18;0.2790466547012329;0.2841850817203522;0.2738093137741089;0.89559734;0.6260600754891773;0.9001023382945708;0.5880887116870172;0.90541375;0.75040174;0.9817032;0.34911537;0.90201;0.6169459308319784;0.8966280531609195;0.24671033024787903;0.565;0.90846;0.778481;0.9874282;0.3075;0.250292032957077;0.24312877655029297
2;0.30947065353393555;0.31871911883354187;0.3001215159893036;0.8876942;0.5666181294526499;0.874604930810235;0.5479691004236232;0.8950296;0.744429;0.98559034;0.26638424;0.89572865;0.5774563961131512;0.8785542385057472;0.267428994178772;0.5475;0.9009156;0.76984125;0.9895833;0.2425;0.2758373022079468;0.2590206265449524
19;0.2818702161312103;0.2873351275920868;0.27629518508911133;0.89614004;0.6312484612910226;0.9012685831395838;0.5939212755356253;0.9084248;0.7318381;0.9784051;0.37403437;0.9054648;0.6209593445292014;0.8956609195402299;0.24550984799861908;0.5775;0.91314477;0.7765363;0.9856322;0.3475;0.24953460693359375;0.24148492515087128
3;0.30495646595954895;0.31411343812942505;0.2958035469055176;0.89115393;0.5788352486271209;0.8779840748240799;0.554697233989534;0.9018341;0.7253363;0.98076093;0.32245204;0.9001256;0.5885715598507274;0.8828160919540229;0.26399797201156616;0.5483870967741935;0.90719944;0.76282054;0.9867098;0.2975;0.2736411988735199;0.25435489416122437
20;0.27782031893730164;0.2831531763076782;0.2724442183971405;0.8934943;0.6320139168504787;0.9016638247733425;0.594816845252928;0.9015285;0.7602862;0.9842161;0.31771743;0.90169597;0.6240190338391527;0.8970061063218392;0.24669404327869415;0.575;0.9062808;0.8041958;0.98994255;0.2875;0.25092601776123047;0.24246254563331604
4;0.3008197546005249;0.30862632393836975;0.29297176003456116;0.8905095;0.5891222084048111;0.8830475686047516;0.5586842761026664;0.9009266;0.7249284;0.98115355;0.3152255;0.8994975;0.5899914693535953;0.8819719827586208;0.2613949477672577;0.5575;0.9057971;0.7702703;0.98778737;0.285;0.2690046429634094;0.2537848949432373
21;0.2786819636821747;0.2843758165836334;0.27320533990859985;0.89532596;0.6352350631163235;0.9027937414169976;0.5937733499377335;0.9038649;0.76171654;0.98343086;0.3361575;0.9013819;0.6227362686493026;0.8964583333333332;0.24654580652713776;0.5775;0.90866977;0.7654321;0.9863506;0.31;0.2500072121620178;0.24308434128761292
5;0.3003852665424347;0.3083755671977997;0.29300498962402344;0.8929177;0.5906662070539503;0.8833510700338157;0.557299451918286;0.912635;0.67497957;0.9687856;0.4114129;0.9013819;0.5999526323762318;0.8858351293103448;0.25724828243255615;0.5625;0.9158249;0.7009346;0.9770115;0.375;0.2647453844547272;0.249751016497612
22;0.2777937054634094;0.28430476784706116;0.2711865305900574;0.8931891;0.633262462207639;0.9029929545890536;0.5964125560538116;0.89977074;0.7758621;0.9862185;0.30276603;0.90106785;0.6261975791454584;0.8971767241379311;0.24575205147266388;0.58;0.9051526;0.810219;0.9906609;0.2775;0.2493717074394226;0.2421325445175171
6;0.2956002652645111;0.3021319806575775;0.28901907801628113;0.8926803;0.5958060046087308;0.8855857387281042;0.5661599800647894;0.9057668;0.7125689;0.97746277;0.35459757;0.9004397;0.5998446071752489;0.8828735632183907;0.25635212659835815;0.56;0.90884984;0.74850297;0.98491377;0.3125;0.2600230574607849;0.2526809573173523
